שם ישוב,סמל ישוב,בעלי זכות בחירה,מצביעים,כשרים,פסולים,Arabs,Left,Right,Center,Orthodox
חגי,3764,184,163,163,0,0,0,150,2,10
חגלה,205,361,304,304,0,1,172,23,76,0
חד-נס,4026,275,178,177,1,1,49,38,55,10
חדיד,618,388,259,256,3,0,54,132,32,33
חדרה,6500,61557,32385,31811,574,66,7041,10589,8406,3970
חולדה,160,277,193,192,1,0,115,6,50,4
חולון,6600,145430,83250,81857,1393,88,23305,20030,23938,11096
חולתה,253,352,244,243,1,0,157,9,46,3
חוסן,662,500,348,347,1,0,90,96,106,45
חוסנייה,1332,283,118,112,6,53,31,7,5,10
חופית,115,685,496,493,3,3,239,27,178,1
חוקוק,374,275,149,149,0,0,105,9,21,1
חורה,1303,3223,2151,2111,40,1768,248,16,47,12
חורפיש,496,3111,2526,2515,11,119,1675,268,369,59
חורשים,355,232,134,134,0,0,92,6,27,0
חזון,1047,292,177,176,1,0,14,74,13,72
חיבת ציון,219,345,265,263,2,1,92,88,52,3
חיננית,3643,383,283,283,0,0,16,246,14,5
חיפה,4000,234676,134744,132516,2228,8043,37048,33520,38547,8144
חירות,162,697,578,578,0,2,304,21,212,1
חלוץ,1272,219,148,147,1,0,87,8,32,0
חלמיש,3573,683,525,525,0,0,6,487,3,21
חלץ,820,355,249,245,4,1,89,73,20,58
חמאם,993,750,440,427,13,223,85,9,93,6
חמד,801,379,285,285,0,0,27,178,28,41
חמדיה,343,306,207,205,2,0,120,17,48,0
חמרה,3609,142,80,80,0,0,28,20,25,1
חניאל,807,546,373,371,2,0,166,46,126,3
חניתה,280,530,313,311,2,0,225,17,54,2
חספין,4005,493,406,405,1,0,8,367,4,22
חפץ חיים,363,268,212,211,1,0,3,148,2,54
חפצי-בה,90,385,262,259,3,1,174,6,60,0
חצב,700,659,411,407,4,1,101,73,163,48
חצבה,13,465,300,298,2,0,104,42,112,5
חצור הגלילית,2034,6184,3855,3794,61,5,562,1575,331,1262
חצור-אשדוד,406,569,415,414,1,2,311,6,71,1
חצרים,397,709,524,520,4,0,393,12,82,0
חרב לאת,422,394,283,281,2,0,95,49,114,0
חרוצים,1024,519,326,322,4,1,109,64,80,35
חרמש,3717,154,74,71,3,0,2,21,43,4
חרשים,1209,117,89,89,0,7,60,1,12,0
חשמונאים,3770,1375,1119,1113,6,0,23,885,12,170
טבריה,6700,31415,15331,15101,230,28,2150,5658,2767,4096
טובא-זנגריה,962,2974,1029,980,49,292,614,6,28,13
טורעאן,498,6205,3592,3513,79,2953,92,28,373,18
טייבה,2730,19161,12021,11824,197,10883,672,57,131,14
טייבה (בעמק),497,763,586,582,4,277,280,2,1,20
טירה,2720,12472,7235,7117,118,6314,440,18,279,21
טירת יהודה,663,515,382,381,1,0,27,251,30,61
טירת כרמל,2100,15462,8207,8073,134,12,1722,2555,1932,1484
טירת צבי,268,485,382,376,6,0,24,262,28,1
טל שחר,462,526,410,408,2,1,195,37,133,5
טל-אל,1181,562,442,440,2,1,151,129,136,5
טללים,1177,103,66,65,1,0,22,3,25,2
טלמון,3788,688,642,638,4,0,4,610,1,22
טמרה,8900,15119,9385,9262,123,7350,739,126,432,514
טמרה (יזרעאל),547,685,323,316,7,280,11,2,5,10
טנא,3743,319,218,215,3,1,41,66,93,2
טפחות,1214,165,119,118,1,0,4,101,2,8
יאנוח-ג'ת,1295,3012,1835,1824,11,97,662,257,535,238
יבול,1232,226,177,175,2,0,31,92,35,5
יבנאל,46,1857,1262,1247,15,1,190,262,293,451
יבנה,2660,24073,14756,14561,195,25,3347,3772,3629,2914
יגור,96,1217,805,800,5,1,553,30,156,2
יגל,798,473,307,305,2,0,67,97,53,77
יד בנימין,577,137,121,121,0,0,0,69,4,48
יד חנה,758,159,116,115,1,6,55,17,23,0
יד מרדכי,358,641,423,422,1,1,309,18,61,7
יד נתן,775,280,180,178,2,0,71,23,61,5
"יד רמב""ם",64,639,429,426,3,0,82,159,104,69
יהוד-נווה אפרים,9400,19547,13087,12941,146,16,4113,2882,4144,1105
יהל,1158,173,82,81,1,0,38,3,29,0
יובל,2009,310,204,202,2,1,73,52,51,14
יובלים,1226,778,624,623,1,4,349,39,177,2
יודפת,1112,298,206,206,0,0,125,8,44,2
יונתן,4007,202,156,156,0,0,9,137,4,1
יושיביה,803,198,144,144,0,1,15,41,9,75
יזרעאל,452,523,315,306,9,1,199,11,76,0
יחיעם,409,377,242,242,0,0,188,6,38,0
יטבתה,866,616,337,336,1,0,265,9,48,2
"ייט""ב",3607,100,80,79,1,0,3,62,13,0
יכיני,811,370,231,230,1,0,47,103,26,52
ינוב,753,502,358,356,2,0,93,92,123,28
ינון,2011,591,373,368,5,1,115,117,52,77
יסוד המעלה,29,925,646,642,4,0,230,115,238,8
יסודות,440,231,204,202,2,1,0,19,0,182
יסעור,575,300,181,180,1,0,141,4,27,1
יעד,1138,366,291,291,0,5,170,12,80,1
יערה,795,362,259,258,1,1,74,31,59,86
יפיע,499,8940,3998,3890,108,3118,540,49,96,48
יפית,3566,110,45,44,1,1,9,15,13,2
יפעת,134,660,447,441,6,0,286,15,106,2
יפתח,453,466,297,295,2,0,216,19,42,0
יצהר,3749,298,232,232,0,1,0,220,0,11
יציץ,759,447,265,258,7,0,32,115,46,59
יקום,417,472,363,361,2,0,266,6,60,2
יקיר,3647,584,487,485,2,0,13,445,1,21
יקנעם (מושבה),241,858,623,623,0,0,280,52,231,6
יקנעם עילית,240,13060,8275,8121,154,8,1852,2842,2236,686
יראון,623,355,225,223,2,2,157,10,32,1
ירדנה,2026,283,180,180,0,0,72,65,26,16
ירוחם,831,6024,3143,3079,64,15,549,1093,431,918
ירושלים,3000,336913,211490,208997,2493,1656,36631,65815,25706,71460
ירחיב,718,481,319,312,7,0,87,108,69,40
ירכא,502,7071,4928,4850,78,496,1127,391,1304,1394
ירקונה,183,204,160,158,2,1,82,11,56,0
ישע,916,182,129,128,1,0,57,19,35,6
ישעי,805,410,307,302,5,0,10,148,19,116
ישרש,828,511,331,330,1,1,108,78,107,33
יתד,1227,221,164,164,0,0,30,66,39,25
כאבול,504,5323,3518,3484,34,3335,47,8,55,17
כאוכב אבו אל-היג',505,1761,1381,1362,19,1292,45,3,7,5
כברי,576,729,499,497,2,1,401,12,58,1
כוכב השחר,3564,668,587,586,1,0,1,568,0,17
כוכב יאיר,1224,7238,5463,5432,31,4,1612,1347,1846,41
כוכב יעקב,3779,2277,1849,1833,16,0,8,652,2,1169
כוכב מיכאל,824,488,333,333,0,1,176,25,111,2
כורזים,1252,314,227,226,1,0,105,29,71,0
כחל,1210,230,152,151,1,0,63,12,64,2
כיסופים,840,219,121,118,3,0,97,1,16,1
כליל,1183,193,132,129,3,10,84,5,4,2
כלנית,1229,140,109,108,1,0,0,80,4,23
כמאנה,1331,588,393,385,8,169,11,55,22,127
כמון,1201,307,232,232,0,0,138,8,56,2
כנף,4028,138,107,106,1,0,26,27,37,0
כנרת (מושבה),63,368,263,263,0,0,95,59,85,2
כנרת (קבוצה),57,593,392,387,5,0,180,28,142,3
כסיפה,1059,4510,1976,1889,87,1282,220,52,254,43
כסלון,859,211,128,127,1,0,10,68,11,35
כסרא-סמיע,1296,3642,2391,2377,14,241,1090,252,466,311
כעביה-טבאש-חג'אג',978,2238,1285,1253,32,399,343,119,98,288
כפר אביב,857,443,323,323,0,1,125,42,124,9
כפר אדומים,3638,1206,957,950,7,0,80,755,60,14
כפר אוריה,364,292,211,207,4,0,95,44,39,18
