שם ישוב,סמל ישוב,בזב,מצביעים,פסולים,כשרים,Arabs,Left,Right,Center,Orthodox
חירות,162,846,715,1,714,1,517,87,101,3
חלוץ,1272,335,232,1,231,0,173,27,30,0
חלמיש,3573,761,631,2,629,0,1,534,4,14
חלץ,820,349,253,5,248,0,24,182,4,24
חמאם,993,1020,510,9,501,375,62,15,5,10
חמד,801,519,453,0,453,0,19,334,27,44
חמדיה,343,315,227,1,226,0,129,61,28,2
חמרה,3609,132,93,0,93,0,27,53,7,1
חניאל,807,645,483,1,482,1,282,111,81,0
חניתה,280,696,457,1,456,0,341,60,44,1
חנתון,1257,424,334,2,332,1,172,92,59,1
חספין,4005,703,576,0,576,0,4,495,3,9
חפץ חיים,363,321,282,1,281,0,2,226,5,16
חפצי-בה,90,416,306,3,303,1,216,43,32,1
חצב,700,789,621,4,617,1,138,393,43,11
חצבה,13,474,362,0,362,0,248,76,25,1
חצור הגלילית,2034,6885,4914,41,4873,5,305,3050,105,1180
חצור-אשדוד,406,628,447,1,446,1,384,25,32,0
חצרים,397,768,586,0,586,0,495,44,42,1
חרב לאת,422,510,420,5,415,0,220,118,67,1
חרוצים,1024,577,447,0,447,0,176,202,47,11
חריש,1247,604,415,2,413,14,50,215,16,42
חרמש,3717,181,122,1,121,0,15,85,13,1
חרשים,1209,192,143,0,143,4,126,5,3,3
חשמונאים,3770,2188,1741,5,1736,2,26,1396,13,121
טבריה,6700,33447,20411,192,20219,28,1620,13000,931,3756
טובא-זנגריה,962,3874,1804,24,1780,1410,230,82,3,37
טורעאן,498,8160,5321,48,5273,4929,219,81,4,24
טייבה,2730,24480,18103,138,17965,17281,471,82,18,53
טייבה (בעמק),497,1054,625,6,619,539,65,6,0,3
טירה,2720,16091,11682,71,11611,11070,455,42,16,7
טירת יהודה,663,709,609,1,608,0,24,502,17,28
טירת כרמל,2100,16155,10735,158,10577,12,1016,7527,473,1237
טירת צבי,268,523,417,2,415,0,35,332,34,2
טל שחר,462,684,568,0,568,1,339,137,78,1
טל-אל,1181,769,612,4,608,1,244,224,127,5
טללים,1177,181,143,2,141,0,72,45,19,0
טלמון,3788,1538,1360,3,1357,0,1,976,2,22
טמרה,8900,19804,15976,65,15911,15010,363,72,91,85
טמרה (יזרעאל),547,875,719,2,717,619,66,2,0,30
טנא,3743,474,363,1,362,1,43,237,38,3
טפחות,1214,241,188,0,188,0,1,162,2,13
יאנוח-ג'ת,1295,4016,2166,24,2142,121,259,1391,56,248
יבול,1232,221,179,0,179,0,82,56,17,2
יבנאל,46,2350,1780,9,1771,3,227,605,103,707
יבנה,2660,29669,22091,196,21895,7,4285,12046,2454,1644
יגור,96,1266,894,4,890,1,705,93,71,1
יגל,798,579,458,1,457,0,63,307,18,46
יד בנימין,577,1701,1486,8,1478,0,4,786,10,84
יד חנה,758,479,392,1,391,3,197,120,63,3
יד מרדכי,358,648,477,0,477,0,367,48,56,1
יד נתן,775,372,295,1,294,0,132,91,54,4
"יד רמב""ם",64,781,612,4,608,0,54,421,45,72
יהוד-מונוסון,9400,21985,16725,111,16614,15,5079,8048,2325,621
יהל,1158,204,102,0,102,0,61,20,16,0
יובל,2009,447,354,0,354,0,129,159,27,20
יובלים,1226,943,778,1,777,5,569,81,114,2
יודפת,1112,466,374,1,373,5,308,30,18,2
יונתן,4007,296,234,1,233,0,8,200,11,2
יושיביה,803,276,240,1,239,0,3,121,0,45
יזרעאל,452,565,353,2,351,1,279,36,30,0
יחיעם,409,466,325,0,325,1,249,42,29,0
יטבתה,866,629,404,0,404,0,331,34,27,1
"ייט""ב",3607,168,138,1,137,0,0,116,0,2
יכיני,811,439,353,3,350,0,24,277,3,25
ינוב,753,592,460,0,460,2,125,228,58,5
ינון,2011,823,633,0,633,55,74,403,29,27
יסוד המעלה,29,1121,857,2,855,0,395,298,122,5
יסודות,440,300,273,2,271,0,0,9,0,253
יסעור,575,432,312,1,311,1,218,43,46,0
יעד,1138,527,415,1,414,4,327,34,47,0
יעף,1044,143,124,0,124,1,58,39,23,0
יערה,795,476,378,0,378,11,51,175,20,113
יפיע,499,11578,7493,81,7412,6645,429,249,12,27
יפית,3566,135,82,0,82,1,14,53,6,3
יפעת,134,712,552,0,552,1,413,67,60,2
יפתח,453,510,354,3,351,1,279,40,23,0
יצהר,3749,539,448,0,448,1,0,99,1,9
